diameter,cellprob_threshold,n_labels,eval_time_s
50,-3,2261,289.0
50,-2,2250,289.0
50,-1,2319,289.0
50,0,2421,289.0
50,1,2555,289.0
50,2,2727,289.0
50,3,2865,289.0
60,-3,2166,202.3
60,-2,2157,202.3
60,-1,2167,202.3
60,0,2277,202.3
60,1,2433,202.3
60,2,2597,202.3
60,3,2588,202.3
70,-3,2599,172.1
70,-2,2578,172.1
70,-1,2654,172.1
70,0,2710,172.1
70,1,2792,172.1
70,2,2826,172.1
70,3,2787,172.1
80,-3,2358,116.0
80,-2,2336,116.0
80,-1,2330,116.0
80,0,2411,116.0
80,1,2503,116.0
80,2,2591,116.0
80,3,2650,116.0
90,-3,2181,103.4
90,-2,2162,103.4
90,-1,2174,103.4
90,0,2209,103.4
90,1,2288,103.4
90,2,2397,103.4
90,3,2485,103.4
100,-3,2030,73.5
100,-2,2009,73.5
100,-1,2030,73.5
100,0,2025,73.5
100,1,2086,73.5
100,2,2210,73.5
100,3,2324,73.5
